Timestamp,Employer,Location,Job Title,Years at Employer,Years of Experience, Annual Base Pay 
8/30/2016 18:48,Epic Systems,"Madison, WI",Software Developer,0.20,0.20,"$95,000.00"
3/22/2016 3:03,HPE,Arbedo,Software Engineer,0.50,0.50,"$70,200.00"
3/21/2016 15:54,Microsoft,Seattle,Program Manager,0.50,0.50,"$105,000.00"
3/21/2016 14:18,Small consulting firm,"Arlington, VA",Software Developer,0.50,0.50,"$70,000.00"
3/21/2016 18:15,Amazon,Seattle,Software Development Engineer I,0.75,0.75,"$95,000.00"
3/21/2016 14:21,Epic Systems,"Verona, Wisconsin",Software Developer,0.90,0.90,"$95,000.00"
3/21/2016 19:12,FundingCircle,"San Francisco, CA",Software Engineer,0.50,1.00,"$105,000.00"
3/21/2016 13:33,Github,Unknown,Social Impact manager,0.50,1.00,"$106,000.00"
3/22/2016 18:53,Series A start up,San Francisco,Software Engineer,0.50,1.00,"$115,000.00"
3/23/2016 8:24,SparkFun Electronics,"Boulder, CO",Junior Software Developer,0.50,1.00,"$60,500.00"
3/21/2016 13:26,Accretive Technology Group,Seattle,Software Developer,1.00,1.00,"$75,000.00"
3/21/2016 14:13,Amazon,"Santa Monica, CA",SDE I,1.00,1.00,"$95,000.00"
3/22/2016 0:06,Amazon,"Seattle, WA",Software Development Engineer (SDE I),1.00,1.00,"$100,000.00"
3/22/2016 4:40,Amazon,Toronto,SDE1,1.00,1.00,"$80,000.00"
3/21/2016 19:12,Amazon,Vancouver,SDE I,1.00,1.00,"$80,000.00"
12/14/2016 14:32,Amazon Lab126,Sunnyvale CA,PD engineering program manager ,1.00,1.00,"$105,900.00"
3/21/2016 17:01,AppDynamics,San Francisco,Software Engineer 1,1.00,1.00,"$110,000.00"
8/9/2016 2:42,ArborMetrix,"Ann Arbor, Michigan",Software Developer,1.00,1.00,"$63,000.00"
3/21/2016 16:01,Bank of America,London,AVP,1.00,1.00,"$58,000.00"
4/1/2016 16:36,BlackRock,New York,Software Developer,1.00,1.00,"$85,000.00"
3/22/2016 11:21,Bmw ,Greer,Senior engineer,1.00,1.00,"$90,000.00"
3/22/2016 11:21,Bmw ,Greer,Senior engineer,1.00,1.00,"$90,000.00"
8/25/2016 17:59,Cerner,Kansas City,System Engineer,1.00,1.00,"$58,000.00"
3/21/2016 13:22,Comcast,Unknown,Developer,1.00,1.00,"$50,000.00"
3/22/2016 7:56,Deloitte Advisory,Atlanta,Consultant,1.00,1.00,"$63,000.00"
3/21/2016 14:24,Deoitte ,NYC,Consultant ,1.00,1.00,"$70,000.00"
3/21/2016 14:15,Dish,"Denver, CO",Software Engineer,1.00,1.00,"$70,000.00"
9/29/2016 18:00,DocuSign,San Francisco,Developer,1.00,1.00,"$115,000.00"
3/21/2016 22:36,Economic consulting,California,Economist,1.00,1.00,"$200,000.00"
3/21/2016 17:49,EnerNOC,Vancouver BC,Software Engineer,1.00,1.00,"$61,000.00"
3/21/2016 14:21,Facebook,Menlo Park,Software Engineer,1.00,1.00,"$135,000.00"
3/21/2016 18:50,Facebook,Seattle,Software Engineer,1.00,1.00,"$105,000.00"
3/21/2016 19:08,Filament,"Madison, WI",Game Engineer,1.00,1.00,"$45,000.00"
3/21/2016 14:22,Freelance,"Portland, OR",Front-End Developer,1.00,1.00,"$75,000.00"
